Epoch,Average Train Loss,Average Validation Loss
100,2393.599259172126,2519.841349449158
200,988.9696141354007,1172.9690933990478
300,876.560907726003,1039.6406076955795
400,155.4589430428975,205.69731684446336
500,94.22199875931243,129.3839771091938
600,76.59904624198799,101.35133907079697
700,67.55837821832344,91.76219694077969
800,64.02059014277671,84.4472213435173
900,61.728126089110305,77.62315192699432
1000,59.42611342287776,81.79772779822349
1100,57.590223828785454,80.10108868539334
1200,55.99673762613268,74.85283493161201
1300,54.737969544396464,75.5544197511673
1400,53.28657888907106,70.8341682112217
1500,51.563535378833315,70.9333502048254
1600,50.76214118089249,66.35097463101148
1700,50.07395133559384,64.39816215097905
1800,48.59158936109115,63.28089862883091
1900,47.89846813201903,59.41694881737232
2000,46.92228475990581,61.51721268892288
2100,46.01854361747629,60.27391254365444
2200,46.25767851235261,59.4191613560915
2300,45.79401669644598,64.27456983923912
2400,45.09341915365476,58.18399302959442
2500,44.75897037007915,59.50178280085325
