Epoch,Average Train Loss,Average Validation Loss
100,179.9820150893482,173.32138087272645
200,101.46252520518516,96.12642270088196
300,59.48621012403004,58.14782975196838
400,50.61500873323698,51.66240615010261
500,49.54028154785953,51.43590750098228
600,49.39247187956056,51.67962737441063
700,49.3705373510674,51.707574985027314
800,49.36710522722842,51.7338277053833
900,49.3664624436222,51.824832353591916
1000,49.36634158661118,51.761639850139616
1100,49.3663088636256,51.90015820741653
1200,49.366288796325215,51.723330338001254
1300,49.36627067466281,51.921522964239124
1400,49.366249562021515,51.7858269393444
1500,49.366220100602106,51.841188883781435
1600,49.36620323508532,51.776150554418564
1700,49.36617744758948,51.82688886642456
1800,49.36614750520507,51.77869377613067
1900,49.36612278610912,51.810503330230716
2000,49.36610335990564,51.75498450875282
2100,49.36607572270863,51.7976961350441
2200,49.36604062165786,51.75543122053146
2300,49.366012405993345,51.789833518266676
2400,49.3659872225861,51.752941627502445
2500,49.365952828962406,51.840175244808194
